Name,Sweep,
Date,17 / 11 / 2015,
Time,14:57:51,
Instrument,FSH8 - 101709/008,
Firmware Version,V2.60,
Instrument Mode,Spectrum,
Meas Mode,Spectrum,
Uplink,- - -,
Downlink,- - -,
Channel (uplink),- - -,
Center Frequency,950000000,Hz
Frequency Offset,0,Hz
Span,60000000,Hz
Ref Level,-30.0,dBm
Ref Offset,0.0,dB
Ref Position,1,
Range,100,dB
RF Attenuation,Manual,
RF Attenuator,0,dB
Preamplifier,On,
RF Input,50 Ohm,
RBW,100000,Hz
VBW,1000000,Hz
SWT,0.03,s
Trigger Mode,Free Run,
Trigger Level,- - -,
Trigger Delay,- - -,
Trace Mode,Clear / Write,
Trace Detector,RMS,
Limit Line 1,- - -,
Limit Line 2,- - -,
Primary Transducer,- - -,
Secondary Transducer,- - -,
Gated Trigger,Off,
Gate Mode,Edge,
Gate Delay,0,s
Gate Length,0.0004,s
Isotropic Antenna,,
Operator,- - -,
Result Limit Line 1,- - -,
Result Limit Line 2,- - -,
Average Count,- - -,

Freq. [Hz],Magnitude [dBm], 
920000000,-113.080085754395, 
920095238.095238,-113.081741333008, 
920190476.190476,-114.130088806152, 
920285714.285714,-116.424674987793, 
920380952.380952,-114.530258178711, 
920476190.47619,-116.141952514648, 
920571428.571429,-118.168640136719, 
920666666.666667,-113.855346679688, 
920761904.761905,-119.378189086914, 
920857142.857143,-113.256607055664, 
920952380.952381,-115.04907989502, 
921047619.047619,-117.250282287598, 
921142857.142857,-118.93531036377, 
921238095.238095,-113.880699157715, 
921333333.333333,-112.795997619629, 
921428571.428571,-112.831237792969, 
921523809.52381,-115.54923248291, 
921619047.619048,-114.04759979248, 
921714285.714286,-110.329231262207, 
921809523.809524,-110.925880432129, 
921904761.904762,-114.188835144043, 
922000000,-116.530387878418, 
922095238.095238,-114.340950012207, 
922190476.190476,-113.927032470703, 
922285714.285714,-111.664657592773, 
922380952.380952,-114.803894042969, 
922476190.47619,-115.441024780273, 
922571428.571429,-115.355911254883, 
922666666.666667,-115.19361114502, 
922761904.761905,-112.802421569824, 
922857142.857143,-115.597702026367, 
922952380.952381,-113.372146606445, 
923047619.047619,-116.428039550781, 
923142857.142857,-117.110458374023, 
923238095.238095,-120.095153808594, 
923333333.333333,-115.993911743164, 
923428571.428571,-114.104209899902, 
923523809.52381,-114.866897583008, 
923619047.619048,-113.020553588867, 
923714285.714286,-115.964088439941, 
923809523.809524,-116.055740356445, 
923904761.904762,-113.874069213867, 
924000000,-112.939277648926, 
924095238.095238,-114.498291015625, 
924190476.190476,-114.905044555664, 
924285714.285714,-116.518081665039, 
924380952.380952,-116.134941101074, 
924476190.47619,-114.908081054688, 
924571428.571429,-113.333908081055, 
924666666.666667,-112.42692565918, 
924761904.761905,-113.135665893555, 
924857142.857143,-117.522285461426, 
