Name,Sweep,
Date,17 / 11 / 2015,
Time,14:58:53,
Instrument,FSH8 - 101709/008,
Firmware Version,V2.60,
Instrument Mode,Spectrum,
Meas Mode,Spectrum,
Uplink,- - -,
Downlink,- - -,
Channel (uplink),- - -,
Center Frequency,950000000,Hz
Frequency Offset,0,Hz
Span,60000000,Hz
Ref Level,-30.0,dBm
Ref Offset,0.0,dB
Ref Position,1,
Range,100,dB
RF Attenuation,Manual,
RF Attenuator,0,dB
Preamplifier,On,
RF Input,50 Ohm,
RBW,100000,Hz
VBW,1000000,Hz
SWT,0.03,s
Trigger Mode,Free Run,
Trigger Level,- - -,
Trigger Delay,- - -,
Trace Mode,Clear / Write,
Trace Detector,RMS,
Limit Line 1,- - -,
Limit Line 2,- - -,
Primary Transducer,- - -,
Secondary Transducer,- - -,
Gated Trigger,Off,
Gate Mode,Edge,
Gate Delay,0,s
Gate Length,0.0004,s
Isotropic Antenna,,
Operator,- - -,
Result Limit Line 1,- - -,
Result Limit Line 2,- - -,
Average Count,- - -,

Freq. [Hz],Magnitude [dBm], 
920000000,-116.712944030762, 
920095238.095238,-116.711334228516, 
920190476.190476,-115.695419311523, 
920285714.285714,-114.093185424805, 
920380952.380952,-111.538986206055, 
920476190.47619,-117.222450256348, 
920571428.571429,-112.496292114258, 
920666666.666667,-116.839782714844, 
920761904.761905,-118.082153320313, 
920857142.857143,-113.620399475098, 
920952380.952381,-114.345230102539, 
921047619.047619,-115.855499267578, 
921142857.142857,-115.980155944824, 
921238095.238095,-114.697456359863, 
921333333.333333,-116.449401855469, 
921428571.428571,-113.114349365234, 
921523809.52381,-114.618354797363, 
921619047.619048,-112.559303283691, 
921714285.714286,-110.744911193848, 
921809523.809524,-114.042098999023, 
921904761.904762,-114.873329162598, 
922000000,-112.232238769531, 
922095238.095238,-113.50186920166, 
922190476.190476,-113.30493927002, 
922285714.285714,-113.597991943359, 
922380952.380952,-110.893768310547, 
922476190.47619,-112.95777130127, 
922571428.571429,-114.725456237793, 
922666666.666667,-113.551223754883, 
922761904.761905,-116.53352355957, 
922857142.857143,-115.548950195313, 
922952380.952381,-117.435211181641, 
923047619.047619,-113.438949584961, 
923142857.142857,-112.594230651855, 
923238095.238095,-114.048751831055, 
923333333.333333,-113.90657043457, 
923428571.428571,-115.957672119141, 
923523809.52381,-115.588317871094, 
923619047.619048,-112.534599304199, 
923714285.714286,-115.870758056641, 
923809523.809524,-117.483474731445, 
923904761.904762,-116.317153930664, 
924000000,-114.844390869141, 
924095238.095238,-117.653953552246, 
924190476.190476,-116.138816833496, 
924285714.285714,-119.106079101563, 
924380952.380952,-115.602493286133, 
924476190.47619,-114.397499084473, 
924571428.571429,-114.489311218262, 
924666666.666667,-115.017677307129, 
924761904.761905,-117.194122314453, 
924857142.857143,-112.770446777344, 
